subject_id,condition,rt_ms,accuracy,age
2,incongruent,366.4051341272921,1,70.0
4,congruent,554.9874853393782,1,55.0
2,incongruent,570.7922143353292,1,55.0
1,INCONG,550.4518525994648,1,60.0
2,Congruent,452.4951485571303,1,
1,INCONG,598.5013941584251,1,60.0
3,Congruent,537.3007146048446,1,70.0
5,incongruent,581.9888283887203,1,40.0
5,INCONG,465.34487108643134,1,45.0
2,Congruent,NA,0,65.0
4,incongruent,527.6850902804372,1,30.0
2,INCONG,646.2929703925441,0,-999.0
2,Congruent,634.9127942156726,0,35.0
1,incongruent,545.0751850453394,0,60.0
4,INCONG,489.63152151996036,1,45.0
4,Congruent,571.0791718891096,1,35.0
5,congruent,458.59680143040805,1,40.0
3,congruent,400.71150021731614,1,55.0
1,congruent,480.93779877016993,1,40.0
5,incongruent,508.13977473477814,1,
1,incongruent,310.8803881374842,1,-999.0
1,incongruent,573.7949598618766,1,65.0
5,Congruent,591.6074846463398,1,-999.0
2,congruent,467.4697949361216,1,65.0
4,incongruent,566.6951496759895,1,55.0
3,congruent,648.2213662737828,1,
4,Congruent,357.2237479362584,0,50.0
5,INCONG,597.6783083152325,1,45.0
5,congruent,530.6048088861063,1,25.0
2,Congruent,495.3092219981934,1,50.0
2,INCONG,530.538153351166,1,25.0
2,INCONG,558.7000170433486,0,60.0
1,Congruent,506.8118670957951,0,55.0
2,Congruent,601.8559569610672,1,45.0
4,congruent,431.8935244040349,1,45.0
4,incongruent,99999,1,
3,Congruent,517.5460578667161,1,25.0
3,incongruent,550.2903829787222,1,40.0
4,INCONG,529.8718993678094,1,40.0
5,INCONG,651.9230781457829,0,40.0
1,Congruent,349.55247656146776,1,65.0
5,congruent,667.9044059100172,1,35.0
4,congruent,358.0226927116509,1,70.0
2,congruent,346.8455393583007,1,
5,Congruent,NA,1,
4,incongruent,539.1817956100406,0,35.0
3,congruent,555.2591443197106,1,55.0
4,Congruent,465.57297669751864,1,25.0
2,incongruent,524.4910908109571,1,-999.0
2,incongruent,619.843568161388,1,25.0
4,incongruent,599.5420761279786,1,50.0
2,congruent,NA,1,
5,Congruent,612.8645656844336,1,30.0
5,incongruent,535.7801125255623,1,25.0
4,Congruent,540.0166884552632,1,40.0
1,congruent,486.09603975386585,1,55.0
1,INCONG,435.38137450376576,1,25.0
2,Congruent,NA,1,50.0
3,incongruent,542.3686574386136,1,40.0
2,congruent,484.984312035464,1,30.0
1,INCONG,599.7564869316301,1,60.0
4,INCONG,375.13365754633276,1,-999.0
1,congruent,344.6347311714561,1,25.0
4,incongruent,521.4684285493807,1,40.0
4,INCONG,NA,1,40.0
3,incongruent,647.1777850780142,0,45.0
1,INCONG,483.60993507998023,1,50.0
1,incongruent,532.9845348363721,0,50.0
3,congruent,515.9527481451137,1,
4,congruent,532.1162869500988,1,60.0
3,congruent,529.0153020331725,1,30.0
4,INCONG,560.4652092140223,1,40.0
3,Congruent,477.4199969200079,0,50.0
5,Congruent,403.96584802119895,0,40.0
1,congruent,554.3850265069572,1,55.0
4,INCONG,500.09843062339746,1,30.0
3,Congruent,474.40636424276414,1,45.0
4,incongruent,532.7103250631548,1,35.0
2,INCONG,635.2785457627165,1,
5,incongruent,499.6345577938397,1,35.0
5,INCONG,517.2542412285354,0,30.0
2,Congruent,507.03768220548557,0,50.0
4,incongruent,581.6202690230207,0,60.0
4,Congruent,495.0116719906607,1,65.0
5,INCONG,546.710868082557,1,30.0
5,congruent,NA,1,35.0
2,INCONG,618.908586763163,1,45.0
4,Congruent,548.9231987402738,1,60.0
4,INCONG,560.0834205455574,1,30.0
3,incongruent,624.240658029852,1,55.0
4,INCONG,587.2639891403348,1,30.0
